race_category,applications,approvals,approval_rate,disparity_ratio_vs_highest,four_fifths_flag
Asian,72865,59173,0.8120908529472312,1.0,False
Joint,19557,15581,0.7966968348928772,0.9810439706364305,False
White,514241,390707,0.7597741136937739,0.9355777262315048,False
Black or African American,75364,49403,0.6555251844381933,0.8072067085341111,False
Native Hawaiian or Other Pacific Islander,1587,1023,0.6446124763705104,0.7937689164101405,True
2 or more minority races,2009,1273,0.633648581383773,0.7802680932609234,True
American Indian or Alaska Native,6734,4060,0.6029106029106029,0.7424176749713736,True
